text,label,char_length,word_count,text_clean,intent
I see a direct debit transaction that I didn't make.,1,52,10,i see a direct debit transaction that i didn't make,Fraud / Disputed Payment
"I made a transfer and the receiver said an amount was received, but less than the right amount. I now have to transfer more to get the remainder to the receiver. Can you tell me about this. What's been going on?",7,211,41,i made a transfer and the receiver said an amount was received but less than the right amount i now have to transfer more to get the remainder to the receiver can you tell me about this what's been going on,Transfer Fee
My balance was not updated after transferring money.,9,52,8,my balance was not updated after transferring money,Missing Money
why wouldnt the atm give me money,6,33,7,why wouldnt the atm give me money,Declined Withdrawal
Why do I have a transaction showing up more than once?,5,54,11,why do i have a transaction showing up more than once,Duplicate Transaction
What is this extra fee?,0,23,5,what is this extra fee,Card Fee Charge
"How can I request cash back? The ATM just gave me the wrong amount, the app shows the amount that I've been actually charged though...",3,134,25,how can i request cash back the atm just gave me the wrong amount the app shows the amount that i've been actually charged though,ATM Partial Withdrawal
Why am I getting charged more for using my card?,0,48,10,why am i getting charged more for using my card,Card Fee Charge
Last week I put a cash deposit into my account and it is still isn't there.,2,75,16,last week i put a cash deposit into my account and it is still isn't there,Deposit Delay
Why have I been charged a fee for card payment?,0,47,10,why have i been charged a fee for card payment,Card Fee Charge
I received the wrong amount of cash from the ATM. Can you help?,3,63,13,i received the wrong amount of cash from the atm can you help,ATM Partial Withdrawal
I made a transfer and was charged an extra fee!,7,47,10,i made a transfer and was charged an extra fee,Transfer Fee
Why isn't my cash deposit showing up in my account? I deposited it this morning.,2,80,15,why isn't my cash deposit showing up in my account i deposited it this morning,Deposit Delay
When will the money from my bank transfer be available?,9,55,10,when will the money from my bank transfer be available,Missing Money
Why was I charged a fee for a transfer?,7,39,9,why was i charged a fee for a transfer,Transfer Fee
I didn't set up the direct debit I have,1,39,9,i didn't set up the direct debit i have,Fraud / Disputed Payment
How long do transfers take? I sent money to a friend who needs it urgently. It's been hours and has not gone through.,8,117,23,how long do transfers take i sent money to a friend who needs it urgently it's been hours and has not gone through,Transfer Delay
When will my cheque process?,2,28,5,when will my cheque process,Deposit Delay
I did not ask for the amount of cash that I received.,3,53,12,i did not ask for the amount of cash that i received,ATM Partial Withdrawal
I'm trying to take money from my account but its not letting me. Help!,6,70,14,i'm trying to take money from my account but its not letting me help,Declined Withdrawal
Why did the funds not transfer to another recipient?,8,52,9,why did the funds not transfer to another recipient,Transfer Delay
I tried to get funds in hard cash but it was rejected!,6,54,12,i tried to get funds in hard cash but it was rejected,Declined Withdrawal
I took cash and got charged a fee,4,33,8,i took cash and got charged a fee,Cash Withdrawal Charge
Please help my find out why there is an odd direct debit in my records.,1,71,15,please help my find out why there is an odd direct debit in my records,Fraud / Disputed Payment
I made a cash deposit to my account but it is not there,2,55,13,i made a cash deposit to my account but it is not there,Deposit Delay
I received incorrect amount of cash from an ATM today. It was more than I wanted. What do I do now?,3,99,21,i received incorrect amount of cash from an atm today it was more than i wanted what do i do now,ATM Partial Withdrawal
Where is the money that I transferred.,9,38,7,where is the money that i transferred,Missing Money
how do i see what i transferred,9,31,7,how do i see what i transferred,Missing Money
I haven't received the cash from the check I deposited.,2,55,10,i haven't received the cash from the check i deposited,Deposit Delay
Is there a reason why my transaction is taking so long?,8,55,11,is there a reason why my transaction is taking so long,Transfer Delay
There is a debit transaction on my statement that I did not make,1,64,13,there is a debit transaction on my statement that i did not make,Fraud / Disputed Payment
"When I deposit cheques and cash, my balance does not update.",2,60,11,when i deposit cheques and cash my balance does not update,Deposit Delay
Why hasn't my transaction completed?,8,36,5,why hasn't my transaction completed,Transfer Delay
